,date,fa_date,reason
12,1993-06-09,13720319,19 خرداد عید سعید غدیر خم[ 18 ذوالحجه ]
13,1993-06-30,13720409,9 تیر تاسوعای حسینی[ 9 محرم ]
14,1993-07-01,13720410,10 تیر عاشورای حسینی[ 10 محرم ]
15,1993-08-09,13720518,18 اَمرداد اربعین حسینی[ 20 صفر ]
16,1993-08-17,13720526,26 اَمرداد رحلترسول اکرم؛شهادت امام حسن مجتبی علیه السلام[ 28 صفر ]
17,1993-08-19,13720528,28 اَمرداد شهادت امام رضا علیه السلام[ 30 صفر ]
18,1993-08-27,13720605,5 شهریورشهادت امام حسن عسکری علیه السلام[ 8 ربيع الاول ]
19,1993-09-05,13720614,14 شهریورمیلاد رسول اکرم و امام جعفر صادق علیه السلام[ 17 ربيع الاول ]
20,1993-11-18,13720827,27 آبان شهادت حضرت فاطمه زهرا سلام الله علیها[ 3 جمادي الثانيه ]
21,1993-12-27,13721006,6 دی ولادت امام علی علیه السلام و روز پدر[ 13 رجب ]
22,1994-01-10,13721020,20 دی مبعث رسول اکرم (ص)[ 27 رجب ]
23,1994-01-28,13721108,8 بهمن ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان[ 15 شعبان ]
24,1994-02-11,13721122,22 بهمن پیروزی انقلاب اسلامی
25,1994-03-04,13721213,13 اسفند شهادت حضرت علی علیه السلام[ 21 رمضان ]
26,1994-03-13,13721222,22 اسفند عید سعید فطر[ 1 شوال ]
27,1994-03-14,13721223,23 اسفند تعطیل به مناسبت عید سعید فطر[ 2 شوال ]
28,1994-03-20,13721229,29 اسفند روز ملی شدن صنعت نفت ایران
0,1994-03-21,13730101,1 فروردین جشن نوروز/جشن سال نو
1,1994-03-22,13730102,2 فروردین عیدنوروز
2,1994-03-23,13730103,3 فروردین عیدنوروز
3,1994-03-24,13730104,4 فروردین عیدنوروز
4,1994-04-01,13730112,12 فروردین روز جمهوری اسلامی
5,1994-04-02,13730113,13 فروردین جشن سیزده به در
6,1994-04-06,13730117,17 فروردین شهادت امام جعفر صادق علیه السلام[ 25 شوال ]
7,1994-05-21,13730231,31 اردیبهشت عید سعید قربان[ 10 ذوالحجه ]
8,1994-05-29,13730308,8 خرداد عید سعید غدیر خم[ 18 ذوالحجه ]
9,1994-06-04,13730314,14 خرداد رحلت حضرت امام خمینی
10,1994-06-05,13730315,15 خرداد قیام 15 خرداد
11,1994-06-19,13730329,29 خرداد تاسوعای حسینی[ 9 محرم ]
12,1994-06-20,13730330,30 خرداد عاشورای حسینی[ 10 محرم ]
13,1994-07-30,13730508,8 اَمرداد اربعین حسینی[ 20 صفر ]
14,1994-08-07,13730516,16 اَمرداد رحلترسول اکرم؛شهادت امام حسن مجتبی علیه السلام[ 28 صفر ]
15,1994-08-09,13730518,18 اَمرداد شهادت امام رضا علیه السلام[ 30 صفر ]
16,1994-08-17,13730526,26 اَمرداد شهادت امام حسن عسکری علیه السلام[ 8 ربيع الاول ]
17,1994-08-26,13730604,4 شهریورمیلاد رسول اکرم و امام جعفر صادق علیه السلام[ 17 ربيع الاول ]
18,1994-11-07,13730816,16 آبان شهادت حضرت فاطمه زهرا سلام الله علیها[ 3 جمادي الثانيه ]
19,1994-12-17,13730926,26 آذر ولادت امام علی علیه السلام و روز پدر[ 13 رجب ]
20,1994-12-31,13731010,10 دی مبعث رسول اکرم (ص)[ 27 رجب ]
21,1995-01-17,13731027,27 دی ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان[ 15 شعبان ]
22,1995-02-11,13731122,22 بهمن پیروزی انقلاب اسلامی
23,1995-02-21,13731202,2 اسفند شهادت حضرت علی علیه السلام[ 21 رمضان ]
24,1995-03-02,13731211,11 اسفند عید سعید فطر[ 1 شوال ]
25,1995-03-03,13731212,12 اسفند تعطیل به مناسبت عید سعید فطر[ 2 شوال ]
26,1995-03-20,13731229,29 اسفند روز ملی شدن صنعت نفت ایران
0,1995-03-21,13740101,1 فروردین جشن نوروز/جشن سال نو
1,1995-03-22,13740102,2 فروردین عیدنوروز
2,1995-03-23,13740103,3 فروردین عیدنوروز
3,1995-03-24,13740104,4 فروردین عیدنوروز
4,1995-03-26,13740106,6 فروردین شهادت امام جعفر صادق علیه السلام[ 25 شوال ]
5,1995-04-01,13740112,12 فروردین روز جمهوری اسلامی
6,1995-04-02,13740113,13 فروردین جشن سیزده به در
7,1995-05-10,13740220,20 اردیبهشت عید سعید قربان[ 10 ذوالحجه ]
8,1995-05-18,13740228,28 اردیبهشت عید سعید غدیر خم[ 18 ذوالحجه ]
9,1995-06-04,13740314,14 خرداد رحلت حضرت امام خمینی
10,1995-06-05,13740315,15 خرداد قیام 15 خرداد
11,1995-06-08,13740318,18 خرداد تاسوعای حسینی[ 9 محرم ]
12,1995-06-09,13740319,19 خرداد عاشورای حسینی[ 10 محرم ]
13,1995-07-19,13740428,28 تیر اربعین حسینی[ 20 صفر ]
14,1995-07-27,13740505,5 اَمرداد رحلترسول اکرم؛شهادت امام حسن مجتبی علیه السلام[ 28 صفر ]
15,1995-07-29,13740507,7 اَمرداد شهادت امام رضا علیه السلام[ 30 صفر ]
16,1995-08-06,13740515,15 اَمرداد شهادت امام حسن عسکری علیه السلام[ 8 ربيع الاول ]
17,1995-08-15,13740524,24 اَمرداد میلاد رسول اکرم و امام جعفر صادق علیه السلام[ 17 ربيع الاول ]
18,1995-10-28,13740806,6 آبان شهادت حضرت فاطمه زهرا سلام الله علیها[ 3 جمادي الثانيه ]
19,1995-12-06,13740915,15 آذر ولادت امام علی علیه السلام و روز پدر[ 13 رجب ]
20,1995-12-20,13740929,29 آذر مبعث رسول اکرم (ص)[ 27 رجب ]
21,1996-01-07,13741017,17 دی ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان[ 15 شعبان ]
22,1996-02-11,13741122,22 بهمن پیروزی انقلاب اسلامی
23,1996-02-11,13741122,22 بهمن شهادت حضرت علی علیه السلام[ 21 رمضان ]
24,1996-02-20,13741201,1 اسفند عید سعید فطر[ 1 شوال ]
25,1996-02-21,13741202,2 اسفند تعطیل به مناسبت عید سعید فطر[ 2 شوال ]
26,1996-03-15,13741225,25 اسفند شهادت امام جعفر صادق علیه السلام[ 25 شوال ]
27,1996-03-19,13741229,29 اسفند روز ملی شدن صنعت نفت ایران
0,1996-03-20,13750101,1 فروردین جشن نوروز/جشن سال نو
1,1996-03-21,13750102,2 فروردین عیدنوروز
2,1996-03-22,13750103,3 فروردین عیدنوروز
3,1996-03-23,13750104,4 فروردین عیدنوروز
4,1996-03-31,13750112,12 فروردین روز جمهوری اسلامی
5,1996-04-01,13750113,13 فروردین جشن سیزده به در
6,1996-04-29,13750210,10 اردیبهشت عید سعید قربان[ 10 ذوالحجه ]
7,1996-05-07,13750218,18 اردیبهشت عید سعید غدیر خم[ 18 ذوالحجه ]
8,1996-05-27,13750307,7 خرداد تاسوعای حسینی[ 9 محرم ]
9,1996-05-28,13750308,8 خرداد عاشورای حسینی[ 10 محرم ]
10,1996-06-03,13750314,14 خرداد رحلت حضرت امام خمینی
11,1996-06-04,13750315,15 خرداد قیام 15 خرداد
12,1996-07-07,13750417,17 تیر اربعین حسینی[ 20 صفر ]
13,1996-07-15,13750425,25 تیر رحلترسول اکرم؛شهادت امام حسن مجتبی علیه السلام[ 28 صفر ]
14,1996-07-17,13750427,27 تیر شهادت امام رضا علیه السلام[ 30 صفر ]
15,1996-07-25,13750504,4 اَمرداد شهادت امام حسن عسکری علیه السلام[ 8 ربيع الاول ]
16,1996-08-03,13750513,13 اَمرداد میلاد رسول اکرم و امام جعفر صادق علیه السلام[ 17 ربيع الاول ]
17,1996-10-16,13750725,25 مهر شهادت حضرت فاطمه زهرا سلام الله علیها[ 3 جمادي الثانيه ]
18,1996-11-25,13750905,5 آذر ولادت امام علی علیه السلام و روز پدر[ 13 رجب ]
19,1996-12-09,13750919,19 آذر مبعث رسول اکرم (ص)[ 27 رجب ]
20,1996-12-26,13751006,6 دی ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان[ 15 شعبان ]
21,1997-01-31,13751112,12 بهمن شهادت حضرت علی علیه السلام[ 21 رمضان ]
22,1997-02-09,13751121,21 بهمن عید سعید فطر[ 1 شوال ]
23,1997-02-10,13751122,22 بهمن پیروزی انقلاب اسلامی
24,1997-02-10,13751122,22 بهمن تعطیل به مناسبت عید سعید فطر[ 2 شوال ]
25,1997-03-05,13751215,15 اسفند شهادت امام جعفر صادق علیه السلام[ 25 شوال ]
26,1997-03-19,13751229,29 اسفند روز ملی شدن صنعت نفت ایران
27,1997-03-20,13751230,30 اسفند آخرین روز سال
0,1997-03-21,13760101,1 فروردین جشن نوروز/جشن سال نو
1,1997-03-22,13760102,2 فروردین عیدنوروز
2,1997-03-23,13760103,3 فروردین عیدنوروز
3,1997-03-24,13760104,4 فروردین عیدنوروز
4,1997-04-01,13760112,12 فروردین روز جمهوری اسلامی
5,1997-04-02,13760113,13 فروردین جشن سیزده به در
6,1997-04-18,13760129,29 فروردین عید سعید قربان[ 10 ذوالحجه ]
7,1997-04-26,13760206,6 اردیبهشت عید سعید غدیر خم[ 18 ذوالحجه ]
8,1997-05-16,13760226,26 اردیبهشت تاسوعای حسینی[ 9 محرم ]
9,1997-05-17,13760227,27 اردیبهشت عاشورای حسینی[ 10 محرم ]
10,1997-06-04,13760314,14 خرداد رحلت حضرت امام خمینی
11,1997-06-05,13760315,15 خرداد قیام 15 خرداد
12,1997-06-26,13760405,5 تیر اربعین حسینی[ 20 صفر ]
13,1997-07-04,13760413,13 تیر رحلترسول اکرم؛شهادت امام حسن مجتبی علیه السلام[ 28 صفر ]
14,1997-07-06,13760415,15 تیر شهادت امام رضا علیه السلام[ 30 صفر ]
15,1997-07-14,13760423,23 تیر شهادت امام حسن عسکری علیه السلام[ 8 ربيع الاول ]
16,1997-07-23,13760501,1 اَمرداد میلاد رسول اکرم و امام جعفر صادق علیه السلام[ 17 ربيع الاول ]
17,1997-10-06,13760714,14 مهر شهادت حضرت فاطمه زهرا سلام الله علیها[ 3 جمادي الثانيه ]
18,1997-11-14,13760823,23 آبان ولادت امام علی علیه السلام و روز پدر[ 13 رجب ]
19,1997-11-28,13760907,7 آذر مبعث رسول اکرم (ص)[ 27 رجب ]
20,1997-12-16,13760925,25 آذر ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان[ 15 شعبان ]
21,1998-01-20,13761030,30 دی شهادت حضرت علی علیه السلام[ 21 رمضان ]
22,1998-01-29,13761109,9 بهمن عید سعید فطر[ 1 شوال ]
23,1998-01-30,13761110,10 بهمن تعطیل به مناسبت عید سعید فطر[ 2 شوال ]
24,1998-02-11,13761122,22 بهمن پیروزی انقلاب اسلامی
25,1998-02-22,13761203,3 اسفند شهادت امام جعفر صادق علیه السلام[ 25 شوال ]
26,1998-03-20,13761229,29 اسفند روز ملی شدن صنعت نفت ایران
0,1998-03-21,13770101,1 فروردین جشن نوروز/جشن سال نو
1,1998-03-22,13770102,2 فروردین عیدنوروز
2,1998-03-23,13770103,3 فروردین عیدنوروز
3,1998-03-24,13770104,4 فروردین عیدنوروز
4,1998-04-01,13770112,12 فروردین روز جمهوری اسلامی
5,1998-04-02,13770113,13 فروردین جشن سیزده به در
6,1998-04-08,13770119,19 فروردین عید سعید قربان[ 10 ذوالحجه ]
7,1998-04-16,13770127,27 فروردین عید سعید غدیر خم[ 18 ذوالحجه ]
8,1998-05-06,13770216,16 اردیبهشت تاسوعای حسینی[ 9 محرم ]
9,1998-05-07,13770217,17 اردیبهشت عاشورای حسینی[ 10 محرم ]
10,1998-06-04,13770314,14 خرداد رحلت حضرت امام خمینی
11,1998-06-05,13770315,15 خرداد قیام 15 خرداد
12,1998-06-15,13770325,25 خرداد اربعین حسینی[ 20 صفر ]
13,1998-06-23,13770402,2 تیر رحلترسول اکرم؛شهادت امام حسن مجتبی علیه السلام[ 28 صفر ]
14,1998-06-25,13770404,4 تیر شهادت امام رضا علیه السلام[ 30 صفر ]
15,1998-07-03,13770412,12 تیر شهادت امام حسن عسکری علیه السلام[ 8 ربيع الاول ]
16,1998-07-12,13770421,21 تیر میلاد رسول اکرم و امام جعفر صادق علیه السلام[ 17 ربيع الاول ]
17,1998-09-24,13770702,2 مهر شهادت حضرت فاطمه زهرا سلام الله علیها[ 3 جمادي الثانيه ]
18,1998-11-03,13770812,12 آبان ولادت امام علی علیه السلام و روز پدر[ 13 رجب ]
19,1998-11-17,13770826,26 آبان مبعث رسول اکرم (ص)[ 27 رجب ]
20,1998-12-05,13770914,14 آذر ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان[ 15 شعبان ]
21,1999-01-09,13771019,19 دی شهادت حضرت علی علیه السلام[ 21 رمضان ]
22,1999-01-18,13771028,28 دی عید سعید فطر[ 1 شوال ]
23,1999-01-19,13771029,29 دی تعطیل به مناسبت عید سعید فطر[ 2 شوال ]
24,1999-02-11,13771122,22 بهمن پیروزی انقلاب اسلامی
25,1999-02-11,13771122,22 بهمن شهادت امام جعفر صادق علیه السلام[ 25 شوال ]
26,1999-03-20,13771229,29 اسفند روز ملی شدن صنعت نفت ایران
0,1999-03-21,13780101,1 فروردین جشن نوروز/جشن سال نو
1,1999-03-22,13780102,2 فروردین عیدنوروز
2,1999-03-23,13780103,3 فروردین عیدنوروز
3,1999-03-24,13780104,4 فروردین عیدنوروز
4,1999-03-28,13780108,8 فروردین عید سعید قربان[ 10 ذوالحجه ]
5,1999-04-01,13780112,12 فروردین روز جمهوری اسلامی
6,1999-04-02,13780113,13 فروردین جشن سیزده به در
7,1999-04-05,13780116,16 فروردین عید سعید غدیر خم[ 18 ذوالحجه ]
8,1999-04-26,13780206,6 اردیبهشت تاسوعای حسینی[ 9 محرم ]
9,1999-04-27,13780207,7 اردیبهشت عاشورای حسینی[ 10 محرم ]
10,1999-06-04,13780314,14 خرداد رحلت حضرت امام خمینی
11,1999-06-05,13780315,15 خرداد قیام 15 خرداد
12,1999-06-05,13780315,15 خرداد اربعین حسینی[ 20 صفر ]
13,1999-06-13,13780323,23 خرداد رحلترسول اکرم؛شهادت امام حسن مجتبی علیه السلام[ 28 صفر ]
14,1999-06-14,13780324,24 خرداد شهادت امام رضا علیه السلام[ 29 صفر ]
